2019-06-07 23:13:43,478 - INFO - Criando servidor com parametros host: 10.254.224.52, port:55000, interval: 0.001
2019-06-07 23:13:43,478 - INFO - Criando socket UDP
2019-06-07 23:14:02,678 - INFO - sending message(id:302) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,681 - INFO - sending message(id:303) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,682 - INFO - sending message(id:304) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,684 - INFO - sending message(id:305) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,687 - INFO - sending message(id:306) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,689 - INFO - sending message(id:307) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,691 - INFO - sending message(id:308) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,692 - INFO - sending message(id:309) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,695 - INFO - sending message(id:310) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,696 - INFO - sending message(id:311) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,701 - INFO - sending message(id:312) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,702 - INFO - sending message(id:313) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,704 - INFO - sending message(id:314) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,706 - INFO - sending message(id:315) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,707 - INFO - sending message(id:316) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,709 - INFO - sending message(id:317) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,711 - INFO - sending message(id:318) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,713 - INFO - sending message(id:319) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,714 - INFO - sending message(id:320) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,717 - INFO - sending message(id:321) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,718 - INFO - sending message(id:322) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,720 - INFO - sending message(id:323) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,722 - INFO - sending message(id:324) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,725 - INFO - sending message(id:325) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,726 - INFO - sending message(id:326) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,728 - INFO - sending message(id:327) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,731 - INFO - sending message(id:328) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,732 - INFO - sending message(id:329) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,734 - INFO - sending message(id:330) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,736 - INFO - sending message(id:331) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,738 - INFO - sending message(id:332) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,740 - INFO - sending message(id:333) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,743 - INFO - sending message(id:334) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,745 - INFO - sending message(id:335) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,746 - INFO - sending message(id:336) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,749 - INFO - sending message(id:337) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,750 - INFO - sending message(id:338) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,753 - INFO - sending message(id:339) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,754 - INFO - sending message(id:340) to ('10.254.224.48', 56916)
